participant_id	age	gender	handedness	handednessScore	twre_index	twre_pde_ss	twre_swe_ss
sub-114	24	male	right	20	114	113.5	112.5
sub-136	25	female	left	0.5	117.5	112.5	121
sub-505	22	female	right	19	123.5	114	130
sub-562	26	male	right	18	126	122.5	127
sub-582	22	female	right	20	123	118	125.5
sub-585	24	female	right	20	104	100	108
sub-628	24	female	right	20	123	128.5	116.5
sub-667	22	female	right	20	121.5	126	115
sub-701	20	female	right	20	109.5	109	108.5
sub-728	28	female	ambi	16	132	130	130
sub-731	27	female	right	18	127	122.5	128.5
sub-736	28	male	right	20	124	119	130
sub-821	21	male	right	19	129	126.5	128.5
sub-835	19	male	right	20	110.5	105	115
sub-1014	25	female	ambi	16	111	112	109